"Region, subregion, country or area","Location code of origin","Origin Latitude","Origin Longitude","Total Population (2000)","Total Population (2005)","Total Population (2010)","Total Population (2015)","Total Population (2020)","Destination","Location code of destination","Destination Latitude","Destination Longitude","Total Migrants (2000)","Total Migrants (2005)","Total Migrants (2010)","Total Migrants (2015)","Total Migrants (2020)","Total Migrants (2000-2020)","Proportion of Emigration per Population (%) (2000)","Proportion of Emigration per Population (%) (2005)","Proportion of Emigration per Population (%) (2010)","Proportion of Emigration per Population (%) (2015)","Proportion of Emigration per Population (%) (2020)","Number of Emigration per Population ( '000s) (2000)","Number of Emigration per Population ( '000s) (2005)","Number of Emigration per Population ( '000s) (2010)","Number of Emigration per Population ( '000s) (2015)","Number of Emigration per Population ( '000s) (2020)"
"Brunei Darussalam","096",4.535277,114.727669,333926,366717,396053,421437,441725,"Cyprus","196",35.126413,33.429859,2,3,3,2,1,11,0.0005989350934039278,0.0008180695195477712,0.0007574743784291496,0.0004745667798508436,0.0002263851944082857,0.005989350934039278,0.008180695195477712,0.007574743784291496,0.004745667798508437,0.002263851944082857
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Cyprus","196",35.126413,33.429859,79,118,181,165,169,712,0.00003690339915387793,0.00005157226709902991,0.00007417541131587208,0.00006368394975730047,0.00006216481348698366,0.0003690339915387793,0.0005157226709902991,0.0007417541131587209,0.0006368394975730047,0.0006216481348698367
"Lao People's Democratic Republic","418",19.85627,102.495496,5430853,5852970,6323418,6787419,7319399,"Cyprus","196",35.126413,33.429859,2,3,3,2,1,11,0.00003682662741930227,0.00005125602899041,0.00004744269633922667,0.00002946628166023049,0.000013662323914846015,0.00036826627419302274,0.0005125602899041,0.0004744269633922667,0.00029466281660230493,0.00013662323914846015
"Malaysia","458",4.210484,101.975766,22945150,25923536,28717731,31068833,33199993,"Cyprus","196",35.126413,33.429859,20,31,48,43,44,186,0.00008716438986016652,0.00011958245202352025,0.00016714412430424952,0.0001384023661268513,0.0001325301484250313,0.0008716438986016653,0.0011958245202352024,0.0016714412430424953,0.001384023661268513,0.001325301484250313
"Myanmar","104",21.913965,95.956223,45538332,47724471,49390988,51483949,53423198,"Cyprus","196",35.126413,33.429859,20,31,48,43,44,186,0.00004391904385079365,0.00006495619406656179,0.00009718372104643867,0.00008352117666809125,0.00008236122442538914,0.00043919043850793656,0.0006495619406656179,0.0009718372104643868,0.0008352117666809125,0.0008236122442538914
"Philippines","608",12.879721,121.774017,77958223,86261250,94636700,103031365,112190977,"Cyprus","196",35.126413,33.429859,3277,4927,7560,6941,7165,29870,0.004203533474589332,0.0057117187613209865,0.007988444229352883,0.00673678350277122,0.006386431593335709,0.04203533474589333,0.05711718761320987,0.07988444229352884,0.0673678350277122,0.0638643159333571
"Singapore","702",1.352083,103.819836,4053602,4344637,5163590,5650018,5909869,"Cyprus","196",35.126413,33.429859,15,23,35,31,31,135,0.00037004126206766227,0.0005293883010249189,0.0006778229874951342,0.0005486708183938529,0.0005245463139707497,0.003700412620676623,0.005293883010249188,0.006778229874951342,0.005486708183938529,0.005245463139707496
"Thailand","764",15.870032,100.992541,63066603,65821360,68270489,70294397,71475664,"Cyprus","196",35.126413,33.429859,119,179,273,250,256,1077,0.0001886894082435358,0.0002719481943247602,0.0003998799539871466,0.00035564712220235707,0.00035816386399712216,0.0018868940824353579,0.002719481943247602,0.003998799539871466,0.0035564712220235704,0.0035816386399712213
"Viet Nam","704",14.058324,108.277199,79001142,83142095,87411012,92191398,96648685,"Cyprus","196",35.126413,33.429859,29,44,65,59,60,257,0.000036708330115025425,0.00005292144731257975,0.00007436134019361314,0.00006399729397747065,0.0000620805135631178,0.00036708330115025424,0.0005292144731257975,0.0007436134019361314,0.0006399729397747066,0.000620805135631178
"Indonesia","360",-0.789275,113.921327,214072421,228805144,244016173,259091970,271857970,"Kuwait","414",29.31166,47.481766,43100,52868,75932,99485,107953,379338,0.020133373462432134,0.02310612387280943,0.031117609569264085,0.038397562070333555,0.03970933793112632,0.20133373462432136,0.23106123872809434,0.3111760956926408,0.3839756207033356,0.3970933793112632
